,sexratio,pop_perhouse,house_cnt
애월읍0,2.376375295,14815.0,106.9129989
애월읍1,2.380619582,14881.0,107.0323319
애월읍2,2.377032724,14943.0,107.1655955
애월읍3,2.37511662,15006.0,107.3408778
애월읍4,2.372270525,15067.0,107.1569271
애월읍5,2.368848669,15139.0,107.007013
애월읍6,2.365417488,15210.0,107.0819011
애월읍7,2.360963792,15273.0,107.1707259
애월읍8,2.359746951,15333.0,107.2178323
애월읍9,2.355446249,15451.0,107.3177894
애월읍10,2.349880883,15531.0,107.4903294
애월읍11,2.348518923,15563.0,107.352167
애월읍12,2.351061782,15587.0,107.7409533
애월읍13,2.345910745,15663.0,107.3405185
애월읍14,2.336207443,15773.0,107.5506767
애월읍15,2.33823343,15782.0,107.4529122
애월읍16,2.33838671,15831.0,107.2232158
애월읍17,2.333019046,15909.0,107.3993096
애월읍18,2.331888428,15918.0,107.3326432
애월읍19,2.326398897,15959.0,107.3375503
애월읍20,2.26,16012.0,107.33
애월읍21,2.321119212,16047.0,107.1907793
애월읍22,2.3169959,16098.0,106.9434912
애월읍23,2.310524036,16163.0,106.8683985
애월읍24,2.31,16149.0,106.91
애월읍25,2.31,16233.0,107.04
애월읍26,2.3,16284.0,106.98
애월읍27,2.29,16335.0,106.91
애월읍28,2.28,16493.0,106.6
애월읍29,2.27,16568.0,106.62
애월읍30,2.27,16623.0,106.44
애월읍31,2.27,16699.0,106.39
애월읍32,2.26,16715.5,106.33
애월읍33,2.26,16732,106.2724215
애월읍34,2.2,16779,106.4
애월읍35,2.19,16842,106.36
애월읍36,2.19,16867,106.23
애월읍37,2.19,16911,105.71
애월읍38,2.19,16911,105.44
애월읍39,2.19,16967,105.17
애월읍40,2.18,17044,105.11
애월읍41,2.18,17111,104.98
애월읍42,2.18,17141,104.98
애월읍43,2.18,17176,105.02
성산읍0,2.028299392,7562.0,109.1925805
성산읍1,2.029951181,7579.0,109.148994
성산읍2,2.023900197,7615.0,109.17481
성산읍3,2.021198639,7642.0,109.4088937
성산읍4,2.018006263,7664.0,109.4812407
성산읍5,2.016790316,7683.0,109.0246864
성산읍6,2.013648772,7693.0,109.2247434
성산읍7,2.006864396,7721.0,109.0246864
성산읍8,2.007372914,7731.0,109.010101
성산읍9,2.004767427,7761.0,109.4078062
성산읍10,2.001418623,7754.0,109.2073335
성산읍11,1.99277699,7753.0,109.7190172
성산읍12,1.983547558,7780.0,109.7594128
성산읍13,1.98230996,7801.0,110.2515296
성산읍14,1.976403061,7840.0,110.2727643
성산읍15,1.969762419,7871.0,109.9390657
성산읍16,1.963728599,7885.0,109.8387315
성산읍17,1.964385298,7890.0,109.9850969
성산읍18,1.964488816,7913.0,109.6708929
성산읍19,1.962874402,7946.0,109.8062954
성산읍20,1.955639098,7980.0,109.7016931
성산읍21,1.950262434,8002.0,109.7580645
성산읍22,1.954164058,7985.0,109.4215542
성산읍23,1.955379588,7956.0,109.7478765
성산읍24,1.951984877,7935.0,109.7927672
성산읍25,1.944318468,7938.0,109.7295828
성산읍26,1.938953488,7912.0,110.1219011
성산읍27,1.936914112,7894.0,110.2007149
성산읍28,1.92958102,7924.0,109.9697885
성산읍29,1.925991189,7945.0,109.7888676
성산읍30,1.918895166,7965.0,109.4272403
성산읍31,1.917533526,7979.0,108.8167053
성산읍32,1.912842316,7997.0,109.2040481
성산읍33,1.91,"7,993",109.42
성산읍34,1.91,"8,034",109.61
성산읍35,1.89,"8,133",109.57
성산읍36,1.89,"8,151",109.43
성산읍37,1.89,"8,152",109.62
성산읍38,1.89,"8,150",110.13
성산읍39,1.89,"8,158",109.91
성산읍40,1.89,"8,155",109.89
성산읍41,1.9,"8,165",109.93
성산읍42,1.9,"8,192",109.81
성산읍43,1.9,"8,178",109.84
표선면0,2.129845298,5753.0,105.105457
표선면1,2.126731302,5776.0,105.2807487
표선면2,2.127902946,5770.0,105.4207797
표선면3,2.122565075,5801.0,105.5249541
표선면4,2.121019108,5809.0,105.1107042
표선면5,2.117980422,5823.0,104.9351944
표선면6,2.117707442,5845.0,105.0016562
표선면7,2.110105838,5858.0,105.1618257
표선면8,2.10564818,5878.0,105.3251493
표선면9,2.101336491,5911.0,105.1701354
표선면10,2.094151454,5916.0,105.4219864
표선면11,2.089496792,5922.0,105.7532424
표선면12,2.084150051,5918.0,105.9098497
표선면13,2.081770569,5919.0,105.7095159
표선면14,2.074722316,5942.0,106.0160428
표선면15,2.06921401,5967.0,106.1957248
표선면16,2.064618467,5989.0,106.1520507
표선면17,2.061969015,6003.0,105.9224755
표선면18,2.058754993,6008.0,106.1156474
표선면19,2.051388658,6013.0,105.8234607
표선면20,2.041728763,6039.0,105.877442
표선면21,2.035891499,6046.0,106.0773481
표선면22,2.032673267,6060.0,106.5392354
표선면23,2.024723916,6067.0,106.3497396
표선면24,2.021122112,6060.0,106.3342318
표선면25,2.019449481,6067.0,106.2279078
표선면26,2.023931342,6059.0,105.9277918
표선면27,2.018731515,6086.0,105.7956449
표선면28,2.014273995,6095.0,105.8517773
표선면29,2.012129159,6101.0,105.4904587
표선면30,2.011456628,6110.0,105.3123956
표선면31,2.010780791,6122.0,105.474879
표선면32,2.0091131,6145.0,105.0830565
표선면33,2.01,"6,151",105.19
표선면34,2.0,"6,168",104.85
표선면35,2.0,"6,175",104.77
표선면36,1.99,"6,186",104.63
표선면37,2.0,"6,178",104.55
표선면38,2.0,"6,141",104.95
표선면39,2.01,"6,151",104.85
표선면40,2.0,"6,165",104.83
표선면41,2.0,"6,168",104.66
표선면42,2.0,"6,171",104.76
표선면43,2.0,"6,175",104.27
안덕면0,1.999302285,5733.0,107.4945692
안덕면1,1.989831093,5802.0,107.6438849
안덕면2,1.98714653,5835.0,107.3497854
안덕면3,1.982512733,5890.0,107.4067496
안덕면4,1.978392978,5924.0,107.5070822
안덕면5,1.976548001,5927.0,107.5287865
안덕면6,1.977774036,5939.0,108.0779451
안덕면7,1.977383146,5969.0,107.9823789
안덕면8,1.971272003,6022.0,107.3174991
안덕면9,1.967677772,6033.0,107.498689
안덕면10,1.966628118,6053.0,107.5675676
안덕면11,1.967014752,6033.0,107.1391168
안덕면12,1.96,6050.0,106.6573719
안덕면13,1.955551884,6052.0,106.3644289
안덕면14,1.955026455,6048.0,106.3525305
안덕면15,1.95492074,6056.0,106.7225423
안덕면16,1.957927735,6061.0,106.3467223
안덕면17,1.957516878,6073.0,106.6759388
안덕면18,1.951335409,6103.0,106.6458442
안덕면19,1.949437286,6131.0,106.7104808
안덕면20,1.949080852,6147.0,106.7471959
안덕면21,1.944272949,6155.0,106.4699793
안덕면22,1.946103896,6160.0,106.7609521
안덕면23,1.944839858,6182.0,107.1145564
안덕면24,1.946543928,6192.0,107.1318096
안덕면25,1.948867314,6180.0,106.9415808
안덕면26,1.944354578,6182.0,107.5276243
안덕면27,1.950187205,6143.0,106.9084629
안덕면28,1.94699187,6150.0,106.3771113
안덕면29,1.944308745,6141.0,106.6101402
안덕면30,1.945013828,6147.0,106.2801932
안덕면31,1.940738342,6176.0,106.4416121
안덕면32,1.937399161,6198.0,106.252147
안덕면33,1.93,"6,185",106.19
안덕면34,1.94,"6,187",106.34
안덕면35,1.93,"6,196",106.3
안덕면36,1.93,"6,240",106.56
안덕면37,1.94,"6,226",106.5
안덕면38,1.94,"6,231",106.58
안덕면39,1.94,"6,239",106.84
안덕면40,1.94,"6,277",106.91
안덕면41,1.94,"6,288",106.9
안덕면42,1.93,"6,334",106.88
안덕면43,1.93,"6,339",107.3
조천읍0,2.377751338,10086.0,105.8627348
조천읍1,2.376248393,10113.0,106.074152
조천읍2,2.371262785,10168.0,106.1451049
조천읍3,2.367612524,10220.0,106.1068037
조천읍4,2.365390237,10263.0,106.1896896
조천읍5,2.360868722,10314.0,106.1015774
조천읍6,2.359745518,10374.0,106.2332729
조천읍7,2.358784499,10399.0,106.4009662
조천읍8,2.35326763,10451.0,106.2483885
조천읍9,2.350162245,10478.0,106.0902385
조천읍10,2.343079552,10534.0,106.3035286
조천읍11,2.345606377,10538.0,106.4753747
조천읍12,2.340964995,10570.0,106.5057353
조천읍13,2.340934791,10612.0,106.5473146
조천읍14,2.337272557,10662.0,106.2961392
조천읍15,2.33889566,10667.0,106.0600931
조천읍16,2.334985041,10696.0,105.6174089
조천읍17,2.333457735,10718.0,105.4784145
조천읍18,2.329275093,10760.0,105.4580569
조천읍19,2.327849043,10758.0,105.4435484
조천읍20,2.27,10796.0,105.31
조천읍21,2.3259362,10815.0,105.4008862
조천읍22,2.323513165,10862.0,105.5105619
조천읍23,2.324639544,10889.0,105.5148284
조천읍24,2.33,10938.0,105.73
조천읍25,2.33,10997.0,105.8
조천읍26,2.32,11041.0,105.62
조천읍27,2.31,11085.0,105.43
조천읍28,2.29,11156.0,105.19
조천읍29,2.29,11212.0,104.81
조천읍30,2.28,11277.0,104.86
조천읍31,2.28,11304.0,104.85
조천읍32,2.27,11344.0,104.75
조천읍33,2.27,11384,104.6521036
조천읍34,2.22,11397,104.62
조천읍35,2.22,11436,104.66
조천읍36,2.21,11469,104.56
조천읍37,2.2,11525,104.45
조천읍38,2.21,11471,104.82
조천읍39,2.21,11500,104.84
조천읍40,2.2,11539,104.64
조천읍41,2.2,11550,104.79
조천읍42,2.2,11577,104.7
조천읍43,2.2,11585,104.88
구좌읍0,2.152141999,7493.0,104.67867
구좌읍1,2.153630913,7505.0,105.0170738
구좌읍2,2.149341142,7513.0,105.3726626
구좌읍3,2.144962166,7533.0,105.5577506
구좌읍4,2.140272091,7571.0,105.2072403
구좌읍5,2.141577769,7593.0,105.2921142
구좌읍6,2.140364686,7623.0,105.1298786
구좌읍7,2.131544503,7640.0,105.1963351
구좌읍8,2.128248661,7657.0,105.2473175
구좌읍9,2.122507494,7673.0,104.8503072
구좌읍10,2.12371134,7663.0,105.1369414
구좌읍11,2.122946545,7670.0,104.9973836
구좌읍12,2.119711853,7635.0,105.5159673
구좌읍13,2.123022617,7649.0,105.4000788
구좌읍14,2.120637825,7651.0,105.5196944
구좌읍15,2.123451962,7671.0,105.0787402
구좌읍16,2.117937394,7699.0,105.1547744
구좌읍17,2.118311688,7700.0,105.0039298
구좌읍18,2.116387699,7707.0,105.1140834
구좌읍19,2.115414508,7720.0,105.1211526
구좌읍20,2.03,7712.0,105.31
구좌읍21,2.111039045,7709.0,105.2479284
구좌읍22,2.104074747,7706.0,105.6311963
구좌읍23,2.101773922,7723.0,105.7953795
구좌읍24,2.1,7720.0,106.08
구좌읍25,2.09,7739.0,106.12
구좌읍26,2.08,7739.0,106.17
구좌읍27,2.07,7739.0,106.21
구좌읍28,2.07,7776.0,106.11
구좌읍29,2.06,7797.0,106.27
구좌읍30,2.06,7811.0,106.3
구좌읍31,2.05,7845.0,106.13
구좌읍32,2.05,7865.0,106.08
구좌읍33,2.05,7885,106.0164325
구좌읍34,1.97,7892,105.86
구좌읍35,1.97,7898,105.77
구좌읍36,1.97,7874,105.67
구좌읍37,1.97,7886,105.67
구좌읍38,1.97,7817,105.85
구좌읍39,1.97,7832,105.8
구좌읍40,1.96,7851,105.72
구좌읍41,1.96,7862,105.87
구좌읍42,1.96,7879,105.73
구좌읍43,1.95,7889,105.72
한림읍0,2.475316776,9865.0,107.2115862
한림읍1,2.475374949,9868.0,107.0076321
한림읍2,2.470991136,9928.0,107.1428571
한림읍3,2.470233912,9961.0,106.884343
한림읍4,2.464353375,10029.0,106.6966908
한림읍5,2.46742379,10038.0,106.5283351
한림읍6,2.46142389,10071.0,106.4900792
한림읍7,2.460207612,10115.0,106.5302144
한림읍8,2.462002174,10119.0,106.7394909
한림읍9,2.454518606,10158.0,106.7069016
한림읍10,2.449553878,10199.0,106.731423
한림읍11,2.450313603,10204.0,106.5025681
한림읍12,2.449642752,10217.0,106.6337401
한림읍13,2.442752562,10245.0,106.7977147
한림읍14,2.435760171,10274.0,106.7511365
한림읍15,2.43263444,10302.0,106.610055
한림읍16,2.428806346,10338.0,106.3817499
한림읍17,2.427701527,10346.0,106.1532545
한림읍18,2.425986842,10336.0,106.225306
한림읍19,2.426142402,10351.0,105.9915368
한림읍20,2.06,10369.0,106.11
한림읍21,2.411640415,10412.0,106.2313109
한림읍22,2.417243368,10404.0,106.225306
한림읍23,2.410843026,10403.0,106.3453738
한림읍24,2.41,10392.0,106.12
한림읍25,2.41,10370.0,106.23
한림읍26,2.4,10378.5,106.26
한림읍27,2.4,10387.0,106.29
한림읍28,2.38,10428.0,106.27
한림읍29,2.37,10465.0,105.87
한림읍30,2.37,10471.0,105.6
한림읍31,2.36,10494.0,105.57
한림읍32,2.35,10508.5,105.46
한림읍33,2.34,10523,105.3547265
한림읍34,2.02,10533,105.2
한림읍35,2.01,10551,105.05
한림읍36,2.01,10560,104.96
한림읍37,2.01,10582,105.06
한림읍38,2.02,10516,105.8
한림읍39,2.02,10525,105.7
한림읍40,2.01,10537,105.72
한림읍41,2.01,10546,105.32
한림읍42,2.01,10565,105.6
한림읍43,2.01,10546,105.63
한경면0,2.069435142,4479.0,101.5311867
한경면1,2.063626251,4495.0,101.1894075
한경면2,2.046844073,4547.0,101.2748826
한경면3,2.045345016,4565.0,101.3600892
한경면4,2.048344948,4592.0,101.2170834
한경면5,2.051967819,4599.0,101.1946903
한경면6,2.047505423,4610.0,100.8176796
한경면7,2.041187947,4613.0,101.4222222
한경면8,2.042073303,4611.0,101.4915405
한경면9,2.038228942,4630.0,101.1973392
한경면10,2.027963003,4649.0,101.7352614
한경면11,2.028559158,4657.0,101.6640781
한경면12,2.024432062,4666.0,101.7765934
한경면13,2.025058899,4669.0,101.66334
한경면14,2.027795595,4677.0,101.5911602
한경면15,2.031864842,4676.0,101.6780746
한경면16,2.020717642,4682.0,101.7960089
한경면17,2.019607843,4692.0,102.1286031
한경면18,2.019603665,4693.0,101.9490587
한경면19,2.017491468,4688.0,101.7742293
한경면20,1.94,4671.0,101.31
한경면21,2.012804097,4686.0,102.0489978
한경면22,2.003613177,4705.0,102.1195895
한경면23,1.995967742,4712.0,101.4938685
한경면24,2.0,4709.0,101.65
한경면25,2.0,4710.0,101.67
한경면26,1.99,4712.5,101.49
한경면27,1.99,4715.0,101.32
한경면28,1.99,4728.0,101.36
한경면29,1.99,4751.0,101.27
한경면30,1.99,4773.0,101.35
한경면31,1.98,4790.0,101.6
한경면32,1.98,4791.0,101.48
한경면33,1.97,4792,101.3573654
한경면34,1.89,4780,101.27
한경면35,1.88,4802,101.81
한경면36,1.88,4812,101.49
한경면37,1.88,4823,101.24
한경면38,1.88,4819,101.69
한경면39,1.87,4857,101.62
한경면40,1.87,4893,101.72
한경면41,1.87,4902,102.12
한경면42,1.87,4913,101.82
한경면43,1.87,4938,100.89
영천동0,2.203924915,2344.0,104.5130641
영천동1,2.200851064,2350.0,104.1041831
영천동2,2.203324808,2346.0,103.9053254
영천동3,2.201612903,2356.0,103.8915094
영천동4,2.204574333,2361.0,104.0376323
영천동5,2.201524132,2362.0,103.6819428
영천동6,2.192776144,2381.0,103.8656775
영천동7,2.190555788,2393.0,103.6519037
영천동8,2.186405338,2398.0,103.6116505
영천동9,2.177786987,2413.0,103.4456059
영천동10,2.174308137,2421.0,103.4003091
영천동11,2.177777778,2430.0,103.1477927
영천동12,2.179012346,2430.0,103.6538462
영천동13,2.183908046,2436.0,103.5973976
영천동14,2.183941008,2441.0,104.1746457
영천동15,2.179885527,2446.0,103.82263
영천동16,2.175081433,2456.0,104.0488923
영천동17,2.180933063,2465.0,104.4106464
영천동18,2.178398058,2472.0,104.4419134
영천동19,2.179279644,2471.0,104.9086758
영천동20,2.180894309,2460.0,104.8491791
영천동21,2.174796748,2460.0,105.3742802
영천동22,2.177859178,2457.0,105.1763804
영천동23,2.172966311,2434.0,104.6826625
영천동24,2.173431734,2439.0,104.1201386
영천동25,2.164344262,2440.0,103.8996139
영천동26,2.166462168,2445.0,103.8091574
영천동27,2.152218152,2457.0,104.3276662
영천동28,2.136880585,2462.0,104.1521149
영천동29,2.12759041,2461.0,104.3715847
영천동30,2.116740981,2467.0,104.4635865
영천동31,2.113774888,2461.0,105.0453291
영천동32,2.108492483,2461.0,105.0177795
영천동33,2.1,"2,471",105.47
영천동34,2.1,"2,477",105.0
영천동35,2.1,"2,474",104.85
영천동36,2.09,"2,475",104.71
영천동37,2.09,"2,482",103.86
영천동38,2.1,"2,463",103.75
영천동39,2.09,"2,463",103.68
영천동40,2.09,"2,452",103.13
영천동41,2.09,"2,462",103.56
영천동42,2.09,"2,475",103.15
영천동43,2.09,"2,471",103.51
효돈동0,2.384684281,2233.0,102.6255708
효돈동1,2.383064516,2232.0,102.012913
효돈동2,2.378354204,2236.0,101.8982536
효돈동3,2.376733781,2235.0,102.0540129
효돈동4,2.374553571,2240.0,102.243346
효돈동5,2.368491322,2247.0,102.1268515
효돈동6,2.367509987,2253.0,102.2753129
효돈동7,2.360742706,2262.0,102.4260804
효돈동8,2.356448763,2264.0,102.5436598
효돈동9,2.337742504,2268.0,102.5983951
효돈동10,2.332010582,2268.0,102.9547199
효돈동11,2.333333333,2262.0,103.3911368
효돈동12,2.33998227,2256.0,103.1947652
효돈동13,2.342629482,2259.0,103.1477927
효돈동14,2.342604857,2265.0,103.2950192
효돈동15,2.343666962,2258.0,102.6809651
효돈동16,2.333333333,2265.0,102.6457055
효돈동17,2.32907489,2270.0,103.0337942
효돈동18,2.328056288,2274.0,102.7575642
효돈동19,2.33010989,2275.0,102.8702641
효돈동20,2.326020184,2279.0,103.0256607
효돈동21,2.323838738,2282.0,102.5592055
효돈동22,2.323245614,2280.0,102.6396327
효돈동23,2.316549912,2284.0,102.332696
효돈동24,2.312472648,2285.0,102.3745691
효돈동25,2.306345733,2285.0,102.9264536
효돈동26,2.312773403,2286.0,102.8001534
효돈동27,2.305203323,2287.0,102.3023791
효돈동28,2.291321413,2293.0,102.2324865
효돈동29,2.278837814,2306.0,101.8824433
효돈동30,2.278354978,2310.0,102.1121352
효돈동31,2.273474686,2311.0,101.9992311
효돈동32,2.276549632,2307.0,102.3112481
효돈동33,2.27,"2,306",102.43
효돈동34,2.27,"2,302",102.83
효돈동35,2.27,"2,315",102.19
효돈동36,2.27,"2,322",102.38
효돈동37,2.27,"2,326",102.18
효돈동38,2.27,"2,315",101.69
효돈동39,2.27,"2,318",102.03
효돈동40,2.27,"2,319",102.15
효돈동41,2.27,"2,316",102.43
효돈동42,2.27,"2,326",102.22
효돈동43,2.27,"2,324",101.68
이도1동0,2.196360674,3682.0,100.1257862
이도1동1,2.19346049,3670.0,100.30326
이도1동2,2.189556704,3677.0,100.759686
이도1동3,2.19268559,3664.0,100.9390863
이도1동4,2.178338762,3684.0,100.2279058
이도1동5,2.180703189,3669.0,99.64530023
이도1동6,2.17509516,3678.0,99.11504425
이도1동7,2.174585935,3683.0,99.2669363
이도1동8,2.17509516,3678.0,98.88832744
이도1동9,2.172873063,3679.0,98.485231
이도1동10,2.176822633,3676.0,98.26065037
이도1동11,2.172695132,3677.0,97.90773885
이도1동12,2.173853712,3664.0,97.32660782
이도1동13,2.167165805,3673.0,96.8537629
이도1동14,2.144136808,3684.0,97.02970297
이도1동15,2.145002731,3662.0,96.33587786
이도1동16,2.144420131,3656.0,96.35483049
이도1동17,2.148696845,3645.0,96.22545269
이도1동18,2.149835346,3644.0,96.67519182
이도1동19,2.144349739,3637.0,97.14138553
이도1동20,2.1,3640.0,96.97
이도1동21,2.143641857,3641.0,96.50924025
이도1동22,2.138643881,3628.0,97.076326
이도1동23,2.138820302,3645.0,97.34262126
이도1동24,2.14,3665.0,96.93
이도1동25,2.13,3680.0,97.23
이도1동26,2.12,3691.0,97.74
이도1동27,2.11,3702.0,98.25
이도1동28,2.1,3717.0,98.86
이도1동29,2.09,3730.0,98.65
이도1동30,2.09,3739.0,98.86
이도1동31,2.08,3739.0,98.98
이도1동32,2.07,3761.0,99.0
이도1동33,2.06,3783,99.01452282
이도1동34,2.02,3791,99.22
이도1동35,2.02,3803,99.2
이도1동36,2.02,3786,98.72
이도1동37,2.01,3765,99.05
이도1동38,2.02,3733,98.73
이도1동39,2.02,3734,98.6
이도1동40,2.01,3728,97.92
이도1동41,2.01,3754,98.45
이도1동42,2.01,3754,98.42
이도1동43,2.01,3767,97.72
삼도2동0,2.089587242,4264.0,107.4498567
삼도2동1,2.087271876,4274.0,107.0969278
삼도2동2,2.082201405,4270.0,106.7938021
삼도2동3,2.083001172,4265.0,106.9328233
삼도2동4,2.088276836,4248.0,106.8410946
삼도2동5,2.090780476,4241.0,106.9040173
삼도2동6,2.093083847,4222.0,107.3832002
삼도2동7,2.088207323,4206.0,107.8144078
삼도2동8,2.078422053,4208.0,107.9921549
삼도2동9,2.078959924,4192.0,108.3353884
삼도2동10,2.080316471,4171.0,108.5586703
삼도2동11,2.081711127,4161.0,108.7248322
삼도2동12,2.081573896,4168.0,108.9099054
삼도2동13,2.079131484,4145.0,108.9384076
삼도2동14,2.078431373,4131.0,108.443999
삼도2동15,2.08211501,4104.0,108.1087887
삼도2동16,2.081259151,4098.0,108.1190116
삼도2동17,2.079667644,4092.0,108.2132929
삼도2동18,2.071986335,4098.0,108.1457121
삼도2동19,2.067432201,4093.0,108.1788164
삼도2동20,2.0,4098.0,108.16
삼도2동21,2.068872549,4080.0,108.1362827
삼도2동22,2.070833333,4080.0,108.5117227
삼도2동23,2.066405293,4081.0,108.5204082
삼도2동24,2.06,4073.0,108.1
삼도2동25,2.06,4066.0,108.05
삼도2동26,2.06,4063.0,108.17
삼도2동27,2.06,4060.0,108.3
삼도2동28,2.04,4094.0,107.85
삼도2동29,2.04,4087.0,107.81
삼도2동30,2.03,4102.0,107.88
삼도2동31,2.03,4107.0,107.94
삼도2동32,2.03,4111.0,107.68
삼도2동33,2.03,4115,107.4216744
삼도2동34,1.96,4112,107.79
삼도2동35,1.95,4101,107.6
삼도2동36,1.95,4085,107.93
삼도2동37,1.94,4086,107.98
삼도2동38,1.95,4082,107.99
삼도2동39,1.94,4081,107.3
삼도2동40,1.94,4102,107.44
삼도2동41,1.93,4116,107.56
삼도2동42,1.92,4135,107.16
삼도2동43,1.92,4120,107.65
일도1동0,1.836171462,1703.0,109.1534756
일도1동1,1.83353151,1682.0,110.1754386
일도1동2,1.82647585,1677.0,110.240113
일도1동3,1.832238806,1675.0,110.2184637
일도1동4,1.847122302,1668.0,109.7680956
일도1동5,1.846153846,1664.0,110.0211715
일도1동6,1.862424242,1650.0,109.9361249
일도1동7,1.859564165,1652.0,110.0070972
일도1동8,1.853925746,1643.0,109.7073519
일도1동9,1.863190184,1630.0,110.7348703
일도1동10,1.861282367,1622.0,109.9710983
일도1동11,1.844115835,1623.0,110.9729334
일도1동12,1.826781327,1628.0,111.1846946
일도1동13,1.819852941,1632.0,110.9397944
일도1동14,1.819742489,1631.0,109.6420745
일도1동15,1.814540974,1623.0,110.1032448
일도1동16,1.813003096,1615.0,110.5576208
일도1동17,1.800370828,1618.0,110.6955871
일도1동18,1.797146402,1612.0,110.6686702
일도1동19,1.795611285,1595.0,110.4704097
일도1동20,1.75,1588.0,110.39
일도1동21,1.793299621,1582.0,110.0152905
일도1동22,1.796685787,1569.0,109.2720307
일도1동23,1.796035806,1564.0,109.377402
일도1동24,1.79,1556.0,109.7
일도1동25,1.78,1542.0,110.31
일도1동26,1.78,1547.0,110.97
일도1동27,1.77,1552.0,111.63
일도1동28,1.77,1548.0,111.68
일도1동29,1.76,1555.0,112.16
일도1동30,1.76,1549.0,112.06
일도1동31,1.77,1538.0,111.54
일도1동32,1.77,1533.0,110.96
일도1동33,1.76,1528,110.3781175
일도1동34,1.71,1526,110.56
일도1동35,1.71,1511,111.46
일도1동36,1.7,1506,110.96
일도1동37,1.7,1500,111.12
일도1동38,1.73,1436,112.57
일도1동39,1.73,1426,111.87
일도1동40,1.73,1417,112.84
일도1동41,1.74,1420,113.24
일도1동42,1.73,1420,112.62
일도1동43,1.73,1417,112.95
동홍동0,2.624074931,8648.0,96.1535137
동홍동1,2.612899517,8698.0,96.48136941
동홍동2,2.605758201,8718.0,96.49684283
동홍동3,2.603230981,8728.0,96.49744876
동홍동4,2.60231439,8728.0,96.63232621
동홍동5,2.59952011,8752.0,96.65485349
동홍동6,2.594942476,8779.0,96.7780945
동홍동7,2.585866606,8816.0,96.86528497
동홍동8,2.579643019,8852.0,96.87041986
동홍동9,2.572666892,8883.0,96.72032366
동홍동10,2.565534253,8919.0,96.64833276
동홍동11,2.561849323,8933.0,96.62342126
동홍동12,2.558300727,8945.0,96.63172366
동홍동13,2.551416462,8966.0,96.61366566
동홍동14,2.549614912,8959.0,96.49032258
동홍동15,2.549932976,8952.0,96.59805357
동홍동16,2.54678102,8978.0,96.41783352
동홍동17,2.547234895,8987.0,96.16109683
동홍동18,2.53843594,9015.0,96.14296734
동홍동19,2.537372844,9044.0,96.11998974
동홍동20,2.537808642,9072.0,96.17416496
동홍동21,2.53306239,9104.0,96.08026528
동홍동22,2.532222709,9124.0,96.21231423
동홍동23,2.530706076,9135.0,96.29786873
동홍동24,2.532231586,9137.0,96.29252566
동홍동25,2.52963044,9146.0,96.06779661
동홍동26,2.520326087,9200.0,96.06798579
동홍동27,2.505025397,9253.0,96.08324169
